N.LC,Date_Code,Male.ID,Period
3,42085,A,Pre
2,42086,A,Pre
4,42090,A,Pre
7,42091,A,Pre
2,42092,A,Pre
9,42093,A,Pre
9,42110,D,Pre
14,42111,D,Pre
17,42112,D,Pre
12,42113,D,Pre
6,42114,D,Pre
10,42118,C,Pre
7,42119,C,Pre
3,42120,C,Pre
6,42121,C,Pre
15,42122,C,Pre
2,42149,A,Pre
3,42150,A,Pre
1,42151,A,Pre
2,42152,A,Pre
3,42162,C,Pre
2,42163,C,Pre
1,42164,C,Pre
4,42165,C,Pre
12,42188,D,Pre
10,42189,D,Pre
8,42190,D,Pre
8,42191,D,Pre
7,42192,D,Pre
1,42327,A,Post
0,42328,A,Post
1,42331,D,Post
4,42332,D,Post
2,42333,D,Post
1,42334,D,Post
0,42335,D,Post
0,42338,A,Post
0,42339,A,Post
0,42340,A,Post
1,42344,C,Post
0,42345,C,Post
0,42346,C,Post
0,42347,C,Post
0,42348,C,Post
0,42382,A,Post
