Month,Day,PM10,25km,25km_2d,25km_3d,25km_7d,50km,50km_2d,50km_3d,50km_7d,100km,100km_2d,100km_3d,100km_7d,25km_2d+1,25km_3d+1,25km_7d+1,50km_2d+1,50km_3d+1,50km_7d+1,100km_2d+1,100km_3d+1,100km_7d+1,log_pm10,log_50km7d
May,1,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
May,2,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
May,3,NA,0,0,0,NA,0,0,0,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
May,4,NA,0,0,0,NA,0,0,0,NA,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
May,5,NA,0,0,0,NA,0,0,0,NA,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
May,6,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
May,7,NA,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,NA,0
May,8,NA,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,NA,0
May,9,NA,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,NA,0
May,10,36.181,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1.558480566,0
May,11,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,NA,0
May,12,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,NA,0
May,13,10.607,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1.025592569,0
May,14,16.155,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,2,2,1.208306962,0
May,15,18.423,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,2,2,1.265360352,0
May,16,18.959,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,2,1.277815427,0
May,17,25.533,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,1.407101845,0
May,18,16.57,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,1.219322508,0
May,19,36.635,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,1.563896196,0
May,20,25.929,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,1.413785768,0
May,21,22.285,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1.348012638,0
May,22,22.684,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1.355719639,0
May,23,18.565,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1.268694954,0
May,24,14.701,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1.167346878,0
May,25,17.55,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1.244277121,0
May,26,30.789,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,2,2,1.488395584,0
May,27,25.258,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,2,2,1.402398959,0
May,28,38.263,1,1,1,1,1,1,1,1,3,3,4,4,2,2,2,2,2,2,4,5,5,1.582779018,0.301029996
May,29,24.428,0,1,1,1,0,1,1,1,1,4,4,5,2,2,2,2,2,2,5,5,6,1.387887911,0.301029996
